postal_code,street,house_numbers,city,area,neighborhood,municipality,province
7908BD,Laveranhof,2 t/m 26,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908BE,Laveranhof,28 t/m 46,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908BG,Laveranhof,48 t/m 64,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908BH,van Leeuwenhoekstraat,1 t/m 49,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908BJ,van Leeuwenhoekstraat,51 t/m 85,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908BK,van Leeuwenhoekstraat,2 t/m 38,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908BL,van Leeuwenhoekstraat,40 t/m 62,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908BN,van Leeuwenhoekstraat,110 t/m 154,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908BP,Eykmanhof,1 t/m 33,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908BR,Eykmanhof,35 t/m 59,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908BS,Behringhof,1 t/m 25,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908BT,Behringhof,27 t/m 69,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908BV,Braillehof,2 t/m 30,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908BW,Braillehof,32 t/m 60,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908BX,Aletta Jacobshof,2 t/m 34,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908BZ,Aletta Jacobshof,38 t/m 72,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908CA,Zanderhof,1 t/m 20,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908CB,Zanderhof,22 t/m 58,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908CC,Zanderhof,60 t/m 80,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908DA,Schuttevaer,2 t/m 30,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908DB,Schuttevaer,1 t/m 47,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908DC,Sloutersverlaat,2 t/m 30,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908DD,Sloutersverlaat,32 t/m 56,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908DE,Sloutersverlaat,1 t/m 39,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908DG,De Schoener,1 t/m 12,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908DH,De Spits,2 t/m 34,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908DJ,De Spits,1 t/m 5,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908DK,De Snikke,10 t/m 32,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908DL,De Snikke,1 t/m 61,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908DM,De Snikke,35 t/m 81,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908DN,De Schokker,1 t/m 19,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908DP,De Schokker,2 t/m 20,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908DR,Oldebaasverlaat,1 t/m 39,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908DS,De Tjalk,1 t/m 23,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908DT,De Punter,1 t/m 49,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908DV,De Punter,51 t/m 73,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908DW,De Punter,2 t/m 38,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908DX,Schutlandenweg,7 t/m 7,Hoogeveen,Wijk 51 De Weide,Schutlanden-Oost,Hoogeveen,Drenthe
7908DZ,Hunze,1 t/m 45,Hoogeveen,Wijk 51 De Weide,Schutlanden-Oost,Hoogeveen,Drenthe
7908EA,De Kogge,2 t/m 44,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908EB,De Kogge,1 t/m 51,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908EC,De Praam,1 t/m 21,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908ED,De Praam,2 t/m 18,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908EE,Booyenverlaat,1 t/m 26,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908EG,De Kempenaar,1 t/m 27,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908EH,De Aak,2 t/m 32,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908EJ,De Aak,34 t/m 74,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908EK,De Aak,76 t/m 108,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908EL,De Aak,1 t/m 39,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908EM,De Aak,41 t/m 67,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908EN,De Boeier,1 t/m 44,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908EP,De Helling,1 t/m 41,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908ER,De Helling,2 t/m 14,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908ES,De Botter,1 t/m 23,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908ET,De Klipper,1 t/m 17,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908EV,De Kaag,2 t/m 20,Hoogeveen,Wijk 51 De Weide,Schutlanden-West,Hoogeveen,Drenthe
7908GB,Schuttevaer,63 t/m 101,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908GC,Schuttevaer,32 t/m 58,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908GD,Schuttevaer,60 t/m 102,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908GE,Schuttevaer,103 t/m 119,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908GG,Het Anker,2 t/m 36,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908GH,Het Anker,38 t/m 68,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908GJ,Het Anker,70 t/m 86,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908GK,Het Anker,1 t/m 39,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908GL,Het Anker,45 t/m 83,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908GM,Het Anker,85 t/m 115,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908GN,Het Roer,1 t/m 14,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908GP,De Kajuit,2 t/m 22,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908GR,De Kajuit,24 t/m 46,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908GS,De Kajuit,1 t/m 19,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908HA,Donau,1 t/m 12,Hoogeveen,Wijk 51 De Weide,Schutlanden-Oost,Hoogeveen,Drenthe
7908HB,Elbe,1 t/m 12,Hoogeveen,Wijk 51 De Weide,Schutlanden-Oost,Hoogeveen,Drenthe
7908HC,Jos van Aalderenlaan,1 t/m 13,Hoogeveen,Wijk 51 De Weide,Schutlanden-Oost,Hoogeveen,Drenthe
7908HD,Jos van Aalderenlaan,2 t/m 82,Hoogeveen,Wijk 51 De Weide,Schutlanden-Oost,Hoogeveen,Drenthe
7908HE,Dollard,1 t/m 27,Hoogeveen,Wijk 51 De Weide,Schutlanden-Oost,Hoogeveen,Drenthe
7908HG,Merwede,1 t/m 43,Hoogeveen,Wijk 51 De Weide,Schutlanden-Oost,Hoogeveen,Drenthe
7908HH,Biesbosch,2 t/m 56,Hoogeveen,Wijk 51 De Weide,Schutlanden-Oost,Hoogeveen,Drenthe
7908HJ,Biesbosch,1 t/m 49,Hoogeveen,Wijk 51 De Weide,Schutlanden-Oost,Hoogeveen,Drenthe
7908HK,Eems,3 t/m 19,Hoogeveen,Wijk 51 De Weide,Schutlanden-Oost,Hoogeveen,Drenthe
7908HL,Schelde,2 t/m 84,Hoogeveen,Wijk 51 De Weide,Schutlanden-Oost,Hoogeveen,Drenthe
7908HM,Schelde,86 t/m 114,Hoogeveen,Wijk 51 De Weide,Schutlanden-Oost,Hoogeveen,Drenthe
7908HN,IJssel,2 t/m 90,Hoogeveen,Wijk 51 De Weide,Schutlanden-Oost,Hoogeveen,Drenthe
7908HP,Lek,1 t/m 23,Hoogeveen,Wijk 51 De Weide,Schutlanden-Oost,Hoogeveen,Drenthe
7908HR,Rijn,1 t/m 63,Hoogeveen,Wijk 51 De Weide,Schutlanden-Oost,Hoogeveen,Drenthe
7908HS,Waal,1 t/m 43,Hoogeveen,Wijk 51 De Weide,Schutlanden-Oost,Hoogeveen,Drenthe
7908HT,Maas,1 t/m 41,Hoogeveen,Wijk 51 De Weide,Schutlanden-Oost,Hoogeveen,Drenthe
7908HV,Vecht,1 t/m 7,Hoogeveen,Wijk 51 De Weide,Schutlanden-Oost,Hoogeveen,Drenthe
7908HW,Schelde,1 t/m 39,Hoogeveen,Wijk 51 De Weide,Schutlanden-Oost,Hoogeveen,Drenthe
7908KA,De Plecht,2 t/m 42,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908KB,De Plecht,44 t/m 58,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908KC,De Plecht,3 t/m 33,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908KD,De Plecht,35 t/m 69,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908KE,Het Roefje,4 t/m 48,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908KG,Het Roefje,1 t/m 15,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908KH,De Boeg,2 t/m 36,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908KK,De Boeg,1 t/m 27,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908LA,De Kiel,2 t/m 46,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908LB,De Kiel,1 t/m 27,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908LC,De Kiel,29 t/m 71,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908LD,De Waring,45 t/m 71,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908LE,De Waring,2 t/m 46,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908LG,De Waring,1 t/m 43,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908LH,De Mast,2 t/m 24,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908LJ,De Mast,1 t/m 15,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908LK,De Waring,48 t/m 70,Hoogeveen,Wijk 51 De Weide,Kattouw,Hoogeveen,Drenthe
7908LL,De Ploeger,1 t/m 10,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908LM,De Maaier,1 t/m 85,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908LN,De Maaier,101 t/m 185,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908LP,De Zaaier,1 t/m 1,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908MA,De Zaaier,4 t/m 170,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908MB,Haverkamp,2 t/m 32,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908MC,Maiskamp,1 t/m 5,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908MD,Graskamp,1 t/m 20,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908ME,Vlaskamp,1 t/m 36,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908MG,Hennepkamp,1 t/m 24,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908MH,Klaverkamp,2 t/m 50,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908MJ,Klaverkamp,52 t/m 94,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908MK,Klaverkamp,1 t/m 49,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908ML,Klaverkamp,51 t/m 81,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908MN,Roggekamp,2 t/m 32,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908MP,Roggekamp,1 t/m 55,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908MR,Tarwekamp,2 t/m 36,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908MS,Tarwekamp,1 t/m 33,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908MT,Korenstraat,2 t/m 36,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908MX,Reuvenkamp,1 t/m 15,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908MZ,Gerstekamp,2 t/m 18,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908NA,De Zaaier,200 t/m 228,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908NB,De Zaaier,230 t/m 264,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908NC,De Zaaier,266 t/m 300,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908ND,De Zaaier,302 t/m 336,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908NE,De Zicht,1 t/m 10,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908NG,De Sikkel,1 t/m 12,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908NH,De Welhaak,1 t/m 19,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908NJ,De Garve,1 t/m 44,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908NK,De Beugel,1 t/m 35,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908NL,Korenstraat,29 t/m 86,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908NM,De Wanne,1 t/m 39,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908NN,Korenstraat,92 t/m 122,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908NP,De Drift,101 t/m 140,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908NR,De Schoof,2 t/m 32,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908NS,De Schoof,1 t/m 49,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908NT,Het Zeyvat,1 t/m 29,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908NV,De Drift,1 t/m 58,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908NW,De Teems,2 t/m 36,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908NX,De Karn,2 t/m 24,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908NZ,De Wrongel,1 t/m 31,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908PA,De Zende,2 t/m 68,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908PB,Tilber,1 t/m 21,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908PC,De Zende,1 t/m 15,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908PD,De Strekel,1 t/m 8,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908PE,Het Haarspit,1 t/m 12,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908PG,De Wezeboom,1 t/m 36,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908PH,De Vlegel,1 t/m 31,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908PJ,De Vlegel,2 t/m 44,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908RA,Witbol,1 t/m 24,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908RB,Smele,1 t/m 19,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908RC,Groenland,1 t/m 29,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908RD,Flokstrapad,1 t/m 5,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908RE,Parelgras,2 t/m 54,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908RG,Parelgras,1 t/m 23,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908RH,Dravik,8 t/m 42,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908RJ,Dravik,1 t/m 37,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908RK,De Pulle,2 t/m 28,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908RL,De Pulle,1 t/m 23,Hoogeveen,Wijk 51 De Weide,Trasselt,Hoogeveen,Drenthe
7908TA,Koedijk,2 t/m 2,Hoogeveen,Wijk 62 Industrie- en verspreide gebieden,Verspreide huizen Nijstad,Hoogeveen,Drenthe
7908VA,Blankvoorn,1 t/m 36,Hoogeveen,Wijk 51 De Weide,Erflanden,Hoogeveen,Drenthe
7908VC,Noorddreef,2 t/m 76,Hoogeveen,Wijk 51 De Weide,Erflanden,Hoogeveen,Drenthe
7908VD,Ruisvoorn,1 t/m 7,Hoogeveen,Wijk 51 De Weide,Erflanden,Hoogeveen,Drenthe
7908VE,Ruisvoorn,2 t/m 56,Hoogeveen,Wijk 51 De Weide,Erflanden,Hoogeveen,Drenthe
7908VG,Bittervoorn,1 t/m 31,Hoogeveen,Wijk 51 De Weide,Erflanden,Hoogeveen,Drenthe
7908VH,Bittervoorn,2 t/m 64,Hoogeveen,Wijk 51 De Weide,Erflanden,Hoogeveen,Drenthe
7908VJ,Atalanta,1 t/m 95,Hoogeveen,Wijk 51 De Weide,Erflanden,Hoogeveen,Drenthe
7908VK,Atalanta,2 t/m 92,Hoogeveen,Wijk 51 De Weide,Erflanden,Hoogeveen,Drenthe
7908VL,Zilvervlek,15 t/m 47,Hoogeveen,Wijk 51 De Weide,Erflanden,Hoogeveen,Drenthe
7908VM,Pauwoog,2 t/m 56,Hoogeveen,Wijk 51 De Weide,Erflanden,Hoogeveen,Drenthe
7908VN,Rotsvlinder,2 t/m 30,Hoogeveen,Wijk 51 De Weide,Erflanden,Hoogeveen,Drenthe
7908VP,Boswitje,1 t/m 31,Hoogeveen,Wijk 51 De Weide,Erflanden,Hoogeveen,Drenthe
7908VR,Groot Koolwitje,1 t/m 22,Hoogeveen,Wijk 51 De Weide,Erflanden,Hoogeveen,Drenthe
7908VS,Kommavlinder,1 t/m 21,Hoogeveen,Wijk 51 De Weide,Erflanden,Hoogeveen,Drenthe
7908VT,Aardbeivlinder,1 t/m 22,Hoogeveen,Wijk 51 De Weide,Erflanden,Hoogeveen,Drenthe
7908VV,Citroenvlinder,2 t/m 38,Hoogeveen,Wijk 51 De Weide,Erflanden,Hoogeveen,Drenthe
7908VW,Citroenvlinder,40 t/m 108,Hoogeveen,Wijk 51 De Weide,Erflanden,Hoogeveen,Drenthe
7908VX,Parelmoervlinder,1 t/m 17,Hoogeveen,Wijk 51 De Weide,Erflanden,Hoogeveen,Drenthe
7908VZ,Parelmoervlinder,2 t/m 40,Hoogeveen,Wijk 51 De Weide,Erflanden,Hoogeveen,Drenthe
7908WB,Brasem,1 t/m 31,Hoogeveen,Wijk 51 De Weide,Erflanden,Hoogeveen,Drenthe
7908WC,Brasem,33 t/m 71,Hoogeveen,Wijk 51 De Weide,Erflanden,Hoogeveen,Drenthe
